model,stage_index,stage_name,parameter_group,candidate_index,note,best_val_MSE,selected,config_json
rnn,1,RNN lr sweep,lr,2,model=RNN;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64,0.00014749374844360912,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0005}"
rnn,1,RNN lr sweep,lr,3,model=RNN;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,0.00014393929484983093,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,2,RNN hidden sweep,hidden,1,model=RNN;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=64,0.0001469338743610066,False,"{""batch_size"": 64, ""hidden"": 32, ""layers"": 2, ""lr"": 0.0001}"
rnn,2,RNN hidden sweep,hidden,2,model=RNN;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,0.00014464334097624175,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,2,RNN hidden sweep,hidden,3,model=RNN;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=128;layers=2;lr=0.0001;batch=64,0.00014536467988514497,False,"{""batch_size"": 64, ""hidden"": 128, ""layers"": 2, ""lr"": 0.0001}"
rnn,3,RNN layers sweep,layers,1,model=RNN;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001;selection=best_val_MSE;hidden=64;layers=1;lr=0.0001;batch=64,0.00014221425759192356,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 1, ""lr"": 0.0001}"
rnn,3,RNN layers sweep,layers,2,model=RNN;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,0.00013669347760343563,True,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,3,RNN layers sweep,layers,3,model=RNN;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001;selection=best_val_MSE;hidden=64;layers=3;lr=0.0001;batch=64,0.00014034324540412207,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 3, ""lr"": 0.0001}"
rnn,4,RNN batch_size sweep,batch_size,1,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=32,0.00014090801428999627,True,"{""batch_size"": 32, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
rnn,4,RNN batch_size sweep,batch_size,2,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:2|lr:0.0001;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64,0.00014120970517778565,False,"{""batch_size"": 64, ""hidden"": 64, ""layers"": 2, ""lr"": 0.0001}"
