model,run_id,timestamp,hyperparameters,hidden_size,d_model,nhead,num_layers,best_val_MSE,test_MSE,MAE,DA,best_epoch,notes,selection_reason
LSTM,lstm_experiment-20260331T195722Z,2026-03-31T19:57:32+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.314615066690628e-05,1.9393048197507057e-05,0.0025731799691849893,1.0,39,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195658Z,2026-03-31T19:57:08+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.3147853683692854e-05,1.9392777419441268e-05,0.0025732026022122303,1.0,39,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195640Z,2026-03-31T19:56:50+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.314806176606433e-05,1.939319450279612e-05,0.002573218380819494,1.0,39,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195632Z,2026-03-31T19:56:39+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.548966993249293e-05,1.9521317443091566e-05,0.0025941713003590247,1.0,4,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195650Z,2026-03-31T19:56:57+00:00,"{""hidden"":32,""input_size"":8,""layers"":2,""random_seed"":42}",32,,,2,4.618428474565067e-05,2.7661910584695233e-05,0.0033520356257052742,0.9987421383647799,9,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=32;layers=2;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195708Z,2026-03-31T19:57:15+00:00,"{""hidden"":128,""input_size"":8,""layers"":2,""random_seed"":42}",128,,,2,4.864835673743265e-05,1.8570890759723184e-05,0.0025997713903566574,1.0,4,model=LSTM;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=128;layers=2;lr=0.0001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195624Z,2026-03-31T19:56:32+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.9113072905868987e-05,1.87167876645998e-05,0.0025283288464483136,1.0,3,model=LSTM;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,
LSTM,lstm_experiment-20260331T195715Z,2026-03-31T19:57:22+00:00,"{""hidden"":64,""input_size"":8,""layers"":1,""random_seed"":42}",64,,,1,5.3372057341429426e-05,2.9717838641306025e-05,0.003009628600327624,0.9924528301886792,21,model=LSTM;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.0001|seq_len:30;selection=best_val_MSE;hidden=64;layers=1;lr=0.0001;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200240Z,2026-03-31T20:02:49+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.329095948719776e-05,2.1104178489907658e-05,0.0028881965381561915,1.0,28,model=RNN;stage=batch_size_sweep;candidate_param=batch;candidates=32|64|128;fixed=hidden:64|layers:3|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=30,selected_by=lowest_validation_MSE
RNN,rnn_experiment-20260331T200317Z,2026-03-31T20:03:26+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.3297846457865696e-05,2.111180355488842e-05,0.0028902340642730485,1.0,28,Tuning final selected configuration for RNN. Winner of staged parameter sweep (stage=seq_len).,
RNN,rnn_experiment-20260331T200301Z,2026-03-31T20:03:09+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.3298420157871885e-05,2.1105829757239147e-05,0.002888461944717393,1.0,28,model=RNN;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.001;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200218Z,2026-03-31T20:02:27+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.3301180237647294e-05,2.1108170117990114e-05,0.002889579970375515,1.0,28,model=RNN;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200114Z,2026-03-31T20:01:20+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.366021869244044e-05,1.9481585890601692e-05,0.002789112447019297,1.0,22,model=RNN;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200147Z,2026-03-31T20:01:54+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.3661812717622246e-05,1.947516893053961e-05,0.0027879149356901728,1.0,22,model=RNN;stage=hidden_sweep;candidate_param=hidden;candidates=32|64|128;fixed=batch:64|layers:2|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200211Z,2026-03-31T20:02:18+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.3666785820697554e-05,1.9474945621969763e-05,0.0027884680003942815,1.0,22,model=RNN;stage=layers_sweep;candidate_param=layers;candidates=1|2|3;fixed=batch:64|hidden:64|lr:0.001|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.001;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200310Z,2026-03-31T20:03:17+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.5695686070043884e-05,2.500960589361031e-05,0.0032539343158579357,0.9974683544303797,15,model=RNN;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.001;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=60,
RNN,rnn_experiment-20260331T200121Z,2026-03-31T20:01:29+00:00,"{""hidden"":64,""input_size"":8,""layers"":2,""random_seed"":42}",64,,,2,4.585103007111787e-05,1.9606019541256317e-05,0.002642431147491098,1.0,32,model=RNN;stage=lr_sweep;candidate_param=lr;candidates=0.001|0.0005|0.0001;fixed=batch:64|hidden:64|layers:2|seq_len:30;selection=best_val_MSE;hidden=64;layers=2;lr=0.0005;batch=64;seq_len=30,
RNN,rnn_experiment-20260331T200254Z,2026-03-31T20:03:01+00:00,"{""hidden"":64,""input_size"":8,""layers"":3,""random_seed"":42}",64,,,3,4.756420143399524e-05,2.3751069603659113e-05,0.003035053706327693,1.0,5,model=RNN;stage=seq_len_sweep;candidate_param=seq_len;candidates=20|30|60;fixed=batch:64|hidden:64|layers:3|lr:0.001;selection=best_val_MSE;hidden=64;layers=3;lr=0.001;batch=64;seq_len=20,
